Title,Price,Category
A Light in the Attic,£51.77,Travel
Tipping the Velvet,£53.74,Mystery
Soumission,£50.10,Historical Fiction
Sharp Objects,£47.82,Sequential Art
Sapiens: A Brief History of Humankind,£54.23,Classics
The Requiem Red,£22.65,Philosophy
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Romance
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Womens Fiction
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Fiction
The Black Maria,£52.15,Childrens
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Religion
Shakespeare's Sonnets,£20.66,Nonfiction
Set Me Free,£17.46,Music
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Default
Rip it Up and Start Again,£35.02,Science Fiction
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Sports and Games
Olio,£23.88,Add a comment
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,Fantasy
Libertarianism for Beginners,£51.33,New Adult
It's Only the Himalayas,£45.17,Young Adult
